Title,Artist,Year
Recurring Dreams,Crowded House,1996
Balance,Ty Tabor,2008
Woke Uo With A Monster,Cheap Trick,1994
Break The Cycle,Staind,2001
A Peek Into The Underworld,Persephone's Bees,2006
Horror Wrestling,Drain STH,1998
Sol Invictus,Faith No More,2015
Submerged,Michael Kelsey,2011
I am Ready,Steve Wariner,1991
Love Under Will,Tribe After Tribe,1993
Circle Of Dust,Circle Of Dust,1995
Grave Dancers Union,Soul Asylum,1992
Dirt,Alice in Chains,1992
Somethings Coming,Ty Tabor,2010
Monkey Wrench,Tres Mts. Three Mountains,2011
Emotional Animal,DUG Pinnick,2005
Th13teen,Little Voice,2005
Last Chance To Dance Trance,Medeski Martin And Wood,1999
In This Defiance,Strife,1997
Grace Under Pressure,Rush,1984
Faith Hope Love,King's X,1990
Regeneration of Self,Few Left Standing,1999
Bumper To Bumper,T. Graham Brown,1990
Rock Garden,Ty Tabor,2006
Strum Sum Up,Dug Pinnick,2007
Ride The Lightning,Metallica,1984
Long Way Back To The Moon,Galactic Cowboys,2017
Natural Selection,Michael Kelsey,2016
Falling Awake,Michael Kelsey,2017
"There's Bad, There's Worse and There's This",ONEDAY CRIMINAL,2006
The Way It Rolls,Michael Kelsey,2007
Burning Like The Midnight Sun,The Choir,2010
Machine Fish,Galactic Cowboys,1996
The American,Martin Sexton,1998
Pretzel Logic,Steely Dan,1974
Copper Wires,Larry Norman,1999
Living Sacrifice,Living Sacrifice,1991
Toys In The Attic,Aerosmith,1975
Silence Screams,REZ,1988
At Home,Strawmen,1994
Sister Sweetly,Big Head Todd And The Monsters,1993
Reborn,Living Sacrifice,1997
Houses Of The Holy,Led Zeppelin,1973
CODA,Led Zeppelin,1982
In The Journey,Martin Sexton,1990
Driver,Ferron,1994
Songs To Make Love To,Faith No More,1993
Angels Of Mercy,Susan Ashton,1992
Let Your Dim Light Shine,Soul Asylum,1995
Last Stand In Open Country,,1996
XV,King's X,2008
Bare Bones,Kenning And Company,2000
Every Precious Moment,Kraig Kenning,1999
Speckled Bird,The Choir,1994
Atonement,Strongarm,1995
Hi-Fi Demonstration Record,Wondergroove,2000
Gretchen Goes to Nebraska,King's X,1989
Tape Head,King's X,1998
Black Sheep,Martin Sexton,1996
Still Suffering,Klank,1996
Romantic Piano Vol. 2,Frederic Chopin ,1994
Ear Candy,King's X,1996
The Advent Of a Miracle,Strongarm,1997
Beg to Differ,Prong,1990
MoonflowerLane,Ty Tabor,1998
Manic Moonlight,King's X,2001
The Jelly Jam,The Jelly Jam,2002
8-Way Santa,TAD,1991
Tourniquet,Larry Norman,2001
Inhaler,TAD,1993
The Road Less Traveled,Six Feet Deep,1996
Appetite For Destruction,Guns N Roses ,1987
Arise,Sepultura,1991
Against,Sepultura,1998
Chaos A.D.,Sepultura,1993
Love Songs For The Hearing Impaired,Dan Baird,1992
Speak of the Devil,Chris Isaak,1998
Heart Shaped World,Chris Isaak,1989
The Jelly Jam 2,The Jelly Jam,2004
Has Been,William Shatner,2004
Come Somewhere,Jerry Gaskill,2004
November,Michael Kelsey,2003
The Other Side,Melissa Ferrick,2004
Gruvency,Michael Kelsey,1996
Falling Into Place,Michael Kelsey,2001
Live All Over The Place,King's X,2004
Valentine Heartache,Melissa Ferrick,2001
Vanishing Lessons,Tourniquet,1994
Crawl To China,Tourniquet,1997
O How the Mighty Have Fallen,The Choir,2005
Pathogenic Ocular Dissonance ,Tourniquet,1992
Ixnay on the Hombre,The Offspring,1997
I Hear Black,Over Kill,1993
Lessons While Dreaming,Michael Kelsey,2013
Strength,No Innocent Victim,1996
Figureheads on the Forefront of Pop Culture,Blenderhead,2000
Muchacho Vivo,Blenderhead,1995
Prime Candidate for Burnout,Blenderhead,1994
Seeds,Martin Sexton,2007
Human Wheels,John Mellencamp,1993
Dead Flowers,Edan,1992
Strength,Alarm,1985
Change,Alarm,1989
From the Heart of Town,Gallon Drunk,1993
Talk to Me,Sam Riney,1991
Hybrid Theory,Linkin Park,2000
Happy Ever After,Hoi Polloi,1995
